Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/booking/1895,1,0,157.27712500000024,157.27712500000024,157.27712500000024,157.27712500000024,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1907,1,0,154.64149999999677,154.64149999999677,154.64149999999677,154.64149999999677,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1912,1,0,154.32379199999957,154.32379199999957,154.32379199999957,154.32379199999957,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1913,1,0,147.28679199999917,147.28679199999917,147.28679199999917,147.28679199999917,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1941,1,0,139.3681669999989,139.3681669999989,139.3681669999989,139.3681669999989,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1943,1,0,144.00549999999868,144.00549999999868,144.00549999999868,144.00549999999868,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1958,2,0,148.09504200000134,146.9919585000028,145.88887500000425,148.09504200000134,182.0,0.033869672076147106,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1959,1,0,152.98929199999733,152.98929199999733,152.98929199999733,152.98929199999733,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/196,1,0,159.2599159999999,159.2599159999999,159.2599159999999,159.2599159999999,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1965,1,0,144.33854199999985,144.33854199999985,144.33854199999985,144.33854199999985,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1979,1,0,143.7239159999999,143.7239159999999,143.7239159999999,143.7239159999999,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1985,1,0,143.82745799999697,143.82745799999697,143.82745799999697,143.82745799999697,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1997,1,0,165.1744999999991,165.1744999999991,165.1744999999991,165.1744999999991,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/2,1,0,152.06629099999702,152.06629099999702,152.06629099999702,152.06629099999702,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2010,1,0,158.65166699999912,158.65166699999912,158.65166699999912,158.65166699999912,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2020,2,0,142.3781249999969,189.9023334999992,142.3781249999969,237.42654200000146,180.0,0.033869672076147106,0.0,240,240,240,240,240,240,240,240,240,240,240
DELETE,/booking/2021,1,0,172.38908299999878,172.38908299999878,172.38908299999878,172.38908299999878,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/2032,1,0,158.55208299999646,158.55208299999646,158.55208299999646,158.55208299999646,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2041,1,0,160.27154200000382,160.27154200000382,160.27154200000382,160.27154200000382,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2048,1,0,141.07937500000034,141.07937500000034,141.07937500000034,141.07937500000034,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2051,1,0,143.24645799999658,143.24645799999658,143.24645799999658,143.24645799999658,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2053,1,0,164.23420899999996,164.23420899999996,164.23420899999996,164.23420899999996,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2057,1,0,183.81424999999751,183.81424999999751,183.81424999999751,183.81424999999751,7.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/2059,1,0,141.23349999999846,141.23349999999846,141.23349999999846,141.23349999999846,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/206,1,0,145.14379199999894,145.14379199999894,145.14379199999894,145.14379199999894,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2070,1,0,163.07254199999832,163.07254199999832,163.07254199999832,163.07254199999832,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2071,1,0,150.51087500000017,150.51087500000017,150.51087500000017,150.51087500000017,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2072,1,0,141.69970800000087,141.69970800000087,141.69970800000087,141.69970800000087,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2079,1,0,191.61295800000033,191.61295800000033,191.61295800000033,191.61295800000033,180.0,0.016934836038073553,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/booking/208,1,0,195.03958399999988,195.03958399999988,195.03958399999988,195.03958399999988,7.0,0.016934836038073553,0.0,200,200,200,200,200,200,200,200,200,200,200
PUT,/booking/2084,1,0,148.84024999999923,148.84024999999923,148.84024999999923,148.84024999999923,191.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2096,1,0,140.5294579999996,140.5294579999996,140.5294579999996,140.5294579999996,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2097,1,0,153.3085839999977,153.3085839999977,153.3085839999977,153.3085839999977,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2103,1,0,157.0329579999985,157.0329579999985,157.0329579999985,157.0329579999985,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/211,1,0,154.98616699999877,154.98616699999877,154.98616699999877,154.98616699999877,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2110,1,0,155.67637499999876,155.67637499999876,155.67637499999876,155.67637499999876,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2110,1,0,155.31033299999564,155.31033299999564,155.31033299999564,155.31033299999564,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2120,1,0,167.6858750000001,167.6858750000001,167.6858750000001,167.6858750000001,180.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/2132,1,0,153.15679100000068,153.15679100000068,153.15679100000068,153.15679100000068,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2134,1,0,140.9596250000007,140.9596250000007,140.9596250000007,140.9596250000007,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2137,1,0,154.906792000002,154.906792000002,154.906792000002,154.906792000002,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2150,1,0,163.7308340000061,163.7308340000061,163.7308340000061,163.7308340000061,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2150,1,0,156.22108299999837,156.22108299999837,156.22108299999837,156.22108299999837,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2167,1,0,192.73537499999804,192.73537499999804,192.73537499999804,192.73537499999804,180.0,0.016934836038073553,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/booking/2180,1,0,158.81658299999657,158.81658299999657,158.81658299999657,158.81658299999657,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2184,1,0,202.25891599999812,202.25891599999812,202.25891599999812,202.25891599999812,180.0,0.016934836038073553,0.0,200,200,200,200,200,200,200,200,200,200,200
DELETE,/booking/2190,1,0,144.99024999999932,144.99024999999932,144.99024999999932,144.99024999999932,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2198,1,0,159.69279099999767,159.69279099999767,159.69279099999767,159.69279099999767,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2204,1,0,147.07120799999984,147.07120799999984,147.07120799999984,147.07120799999984,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2215,1,0,151.75737500000253,151.75737500000253,151.75737500000253,151.75737500000253,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2217,1,0,204.61004100000224,204.61004100000224,204.61004100000224,204.61004100000224,7.0,0.016934836038073553,0.0,200,200,200,200,200,200,200,200,200,200,200
PUT,/booking/2218,1,0,149.3576670000003,149.3576670000003,149.3576670000003,149.3576670000003,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2219,1,0,179.24908300000197,179.24908300000197,179.24908300000197,179.24908300000197,180.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
PUT,/booking/2221,1,0,154.31808299999972,154.31808299999972,154.31808299999972,154.31808299999972,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2223,2,0,150.0,150.01764549999842,149.6092909999973,150.4259999999995,176.0,0.033869672076147106,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2230,1,0,154.41750000000098,154.41750000000098,154.41750000000098,154.41750000000098,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2244,1,0,151.2565840000022,151.2565840000022,151.2565840000022,151.2565840000022,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2245,1,0,150.2712499999994,150.2712499999994,150.2712499999994,150.2712499999994,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2250,1,0,158.90654100000035,158.90654100000035,158.90654100000035,158.90654100000035,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2275,1,0,145.242666999998,145.242666999998,145.242666999998,145.242666999998,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2278,1,0,170.71354200000144,170.71354200000144,170.71354200000144,170.71354200000144,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/2286,1,0,143.62979099999862,143.62979099999862,143.62979099999862,143.62979099999862,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/230,1,0,146.24720799999835,146.24720799999835,146.24720799999835,146.24720799999835,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2305,1,0,140.5572080000006,140.5572080000006,140.5572080000006,140.5572080000006,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2307,1,0,167.16466699999978,167.16466699999978,167.16466699999978,167.16466699999978,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/2317,1,0,151.30008299999886,151.30008299999886,151.30008299999886,151.30008299999886,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2321,1,0,141.12758400000035,141.12758400000035,141.12758400000035,141.12758400000035,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2321,1,0,143.09379200000018,143.09379200000018,143.09379200000018,143.09379200000018,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2325,1,0,146.34324999999748,146.34324999999748,146.34324999999748,146.34324999999748,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2331,1,0,141.51500000000004,141.51500000000004,141.51500000000004,141.51500000000004,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2335,1,0,155.26812500000275,155.26812500000275,155.26812500000275,155.26812500000275,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2365,1,0,162.69858399999748,162.69858399999748,162.69858399999748,162.69858399999748,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2393,1,0,142.37462499999953,142.37462499999953,142.37462499999953,142.37462499999953,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2418,1,0,172.26716599999747,172.26716599999747,172.26716599999747,172.26716599999747,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/2418,1,0,173.6342499999992,173.6342499999992,173.6342499999992,173.6342499999992,182.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/2423,1,0,143.27116599999988,143.27116599999988,143.27116599999988,143.27116599999988,191.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2426,2,0,150.0,151.1707710000021,147.25579199999927,155.0857500000049,180.0,0.033869672076147106,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2439,1,0,149.21458299999912,149.21458299999912,149.21458299999912,149.21458299999912,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2453,1,0,145.26624999999882,145.26624999999882,145.26624999999882,145.26624999999882,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2473,1,0,166.52587499999782,166.52587499999782,166.52587499999782,166.52587499999782,182.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/2479,1,0,146.452416999999,146.452416999999,146.452416999999,146.452416999999,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2487,1,0,146.24099999999984,146.24099999999984,146.24099999999984,146.24099999999984,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2493,1,0,148.02333300000114,148.02333300000114,148.02333300000114,148.02333300000114,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/25,1,0,142.67629200000087,142.67629200000087,142.67629200000087,142.67629200000087,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2507,1,0,147.369249999997,147.369249999997,147.369249999997,147.369249999997,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2508,1,0,150.91495800000132,150.91495800000132,150.91495800000132,150.91495800000132,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/251,1,0,169.6627090000007,169.6627090000007,169.6627090000007,169.6627090000007,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/2513,1,0,157.82124999999957,157.82124999999957,157.82124999999957,157.82124999999957,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2524,1,0,148.70616700000028,148.70616700000028,148.70616700000028,148.70616700000028,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2539,1,0,142.68370799999985,142.68370799999985,142.68370799999985,142.68370799999985,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2547,1,0,156.50587500000057,156.50587500000057,156.50587500000057,156.50587500000057,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2559,1,0,143.88112500000005,143.88112500000005,143.88112500000005,143.88112500000005,176.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2563,1,0,160.24883400000078,160.24883400000078,160.24883400000078,160.24883400000078,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2563,1,0,148.04054200000039,148.04054200000039,148.04054200000039,148.04054200000039,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2565,1,0,149.95887499999938,149.95887499999938,149.95887499999938,149.95887499999938,177.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2567,1,0,138.9805829999986,138.9805829999986,138.9805829999986,138.9805829999986,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2577,1,0,163.40925000000084,163.40925000000084,163.40925000000084,163.40925000000084,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2590,1,0,139.1292909999997,139.1292909999997,139.1292909999997,139.1292909999997,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2592,1,0,141.46724999999805,141.46724999999805,141.46724999999805,141.46724999999805,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/260,1,0,157.68166700000563,157.68166700000563,157.68166700000563,157.68166700000563,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2606,1,0,143.1948329999999,143.1948329999999,143.1948329999999,143.1948329999999,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2625,1,0,140.85375000000155,140.85375000000155,140.85375000000155,140.85375000000155,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2631,1,0,144.9540420000002,144.9540420000002,144.9540420000002,144.9540420000002,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2641,1,0,150.69345799999923,150.69345799999923,150.69345799999923,150.69345799999923,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2647,1,0,144.2190409999995,144.2190409999995,144.2190409999995,144.2190409999995,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2656,1,0,145.22479100000396,145.22479100000396,145.22479100000396,145.22479100000396,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2667,1,0,156.00466700000126,156.00466700000126,156.00466700000126,156.00466700000126,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2668,1,0,155.03900000000215,155.03900000000215,155.03900000000215,155.03900000000215,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2673,1,0,143.33833300000265,143.33833300000265,143.33833300000265,143.33833300000265,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2673,1,0,194.60016700000438,194.60016700000438,194.60016700000438,194.60016700000438,180.0,0.016934836038073553,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/booking/2675,1,0,147.4776250000005,147.4776250000005,147.4776250000005,147.4776250000005,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2692,1,0,147.84933299999992,147.84933299999992,147.84933299999992,147.84933299999992,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2697,1,0,146.7910830000001,146.7910830000001,146.7910830000001,146.7910830000001,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2699,1,0,150.45800000000042,150.45800000000042,150.45800000000042,150.45800000000042,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2700,1,0,145.1738329999941,145.1738329999941,145.1738329999941,145.1738329999941,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2707,1,0,161.24625000000492,161.24625000000492,161.24625000000492,161.24625000000492,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2709,1,0,155.21737499999944,155.21737499999944,155.21737499999944,155.21737499999944,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2723,1,0,142.14487499999962,142.14487499999962,142.14487499999962,142.14487499999962,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2728,1,0,148.70962499999862,148.70962499999862,148.70962499999862,148.70962499999862,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2730,1,0,149.4989170000025,149.4989170000025,149.4989170000025,149.4989170000025,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2733,1,0,145.45729200000324,145.45729200000324,145.45729200000324,145.45729200000324,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/274,1,0,139.9766249999992,139.9766249999992,139.9766249999992,139.9766249999992,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2745,1,0,141.64933399999668,141.64933399999668,141.64933399999668,141.64933399999668,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/276,1,0,142.44304200000002,142.44304200000002,142.44304200000002,142.44304200000002,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2763,1,0,148.35570800000397,148.35570800000397,148.35570800000397,148.35570800000397,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2764,1,0,149.5672920000004,149.5672920000004,149.5672920000004,149.5672920000004,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2765,1,0,166.575083000005,166.575083000005,166.575083000005,166.575083000005,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/2766,1,0,152.96395800000084,152.96395800000084,152.96395800000084,152.96395800000084,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2782,1,0,151.2740000000008,151.2740000000008,151.2740000000008,151.2740000000008,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2793,1,0,140.1948329999989,140.1948329999989,140.1948329999989,140.1948329999989,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/28,1,0,148.36108400000114,148.36108400000114,148.36108400000114,148.36108400000114,185.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2804,1,0,215.96108299999628,215.96108299999628,215.96108299999628,215.96108299999628,182.0,0.016934836038073553,0.0,220,220,220,220,220,220,220,220,220,220,220
PUT,/booking/2807,1,0,149.21212500000001,149.21212500000001,149.21212500000001,149.21212500000001,182.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2809,1,0,140.6086249999987,140.6086249999987,140.6086249999987,140.6086249999987,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2810,1,0,145.9585830000001,145.9585830000001,145.9585830000001,145.9585830000001,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2819,1,0,143.38654200000178,143.38654200000178,143.38654200000178,143.38654200000178,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2821,1,0,159.01412499999878,159.01412499999878,159.01412499999878,159.01412499999878,177.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2827,1,0,161.27237499999936,161.27237499999936,161.27237499999936,161.27237499999936,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2830,1,0,214.82716700000282,214.82716700000282,214.82716700000282,214.82716700000282,7.0,0.016934836038073553,0.0,210,210,210,210,210,210,210,210,210,210,210
DELETE,/booking/2837,1,0,181.38287500000416,181.38287500000416,181.38287500000416,181.38287500000416,7.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
PUT,/booking/2838,1,0,194.41462500000029,194.41462500000029,194.41462500000029,194.41462500000029,182.0,0.016934836038073553,0.0,190,190,190,190,190,190,190,190,190,190,190
PUT,/booking/2839,1,0,143.0969160000002,143.0969160000002,143.0969160000002,143.0969160000002,182.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2843,1,0,160.26924999999892,160.26924999999892,160.26924999999892,160.26924999999892,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/2846,1,0,157.290500000002,157.290500000002,157.290500000002,157.290500000002,182.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2851,1,0,149.6452500000025,149.6452500000025,149.6452500000025,149.6452500000025,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2856,1,0,152.91024999999792,152.91024999999792,152.91024999999792,152.91024999999792,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2866,1,0,148.44579200000396,148.44579200000396,148.44579200000396,148.44579200000396,180.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2867,1,0,142.76120800000314,142.76120800000314,142.76120800000314,142.76120800000314,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/287,1,0,142.34308399999662,142.34308399999662,142.34308399999662,142.34308399999662,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2877,1,0,173.94504099999608,173.94504099999608,173.94504099999608,173.94504099999608,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/2879,1,0,150.57537499999896,150.57537499999896,150.57537499999896,150.57537499999896,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/2880,1,0,196.00533300000222,196.00533300000222,196.00533300000222,196.00533300000222,182.0,0.016934836038073553,0.0,200,200,200,200,200,200,200,200,200,200,200
DELETE,/booking/2900,1,0,152.26120800000587,152.26120800000587,152.26120800000587,152.26120800000587,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/2927,1,0,171.27095899999745,171.27095899999745,171.27095899999745,171.27095899999745,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/2930,1,0,157.09245800000105,157.09245800000105,157.09245800000105,157.09245800000105,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2933,1,0,147.30279099999777,147.30279099999777,147.30279099999777,147.30279099999777,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/294,1,0,155.09816699999845,155.09816699999845,155.09816699999845,155.09816699999845,180.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/2944,1,0,143.8444170000004,143.8444170000004,143.8444170000004,143.8444170000004,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2947,1,0,141.19795800000645,141.19795800000645,141.19795800000645,141.19795800000645,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/2969,1,0,139.29679199999967,139.29679199999967,139.29679199999967,139.29679199999967,180.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/2977,1,0,149.70837499999945,149.70837499999945,149.70837499999945,149.70837499999945,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
