Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
DELETE,/booking/1171,1,0,145.61820800000015,145.61820800000015,145.61820800000015,145.61820800000015,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1172,1,0,142.50912499999657,142.50912499999657,142.50912499999657,142.50912499999657,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1173,1,0,154.20962500000002,154.20962500000002,154.20962500000002,154.20962500000002,150.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1176,1,0,145.62445800000035,145.62445800000035,145.62445800000035,145.62445800000035,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1185,1,0,178.1535419999969,178.1535419999969,178.1535419999969,178.1535419999969,150.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/1186,1,0,164.26129100000077,164.26129100000077,164.26129100000077,164.26129100000077,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1189,1,0,146.83429100000023,146.83429100000023,146.83429100000023,146.83429100000023,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1203,1,0,141.22500000000215,141.22500000000215,141.22500000000215,141.22500000000215,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1205,1,0,143.7643340000001,143.7643340000001,143.7643340000001,143.7643340000001,150.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1214,1,0,143.42966600000295,143.42966600000295,143.42966600000295,143.42966600000295,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1220,1,0,138.84883400000004,138.84883400000004,138.84883400000004,138.84883400000004,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1232,1,0,150.64737499999836,150.64737499999836,150.64737499999836,150.64737499999836,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1244,1,0,187.0351250000013,187.0351250000013,187.0351250000013,187.0351250000013,150.0,0.016934836038073553,0.0,190,190,190,190,190,190,190,190,190,190,190
PUT,/booking/1245,1,0,141.6168330000005,141.6168330000005,141.6168330000005,141.6168330000005,150.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/125,1,0,153.87345899999616,153.87345899999616,153.87345899999616,153.87345899999616,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1264,1,0,141.83862500000544,141.83862500000544,141.83862500000544,141.83862500000544,150.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1267,1,0,143.62220800000003,143.62220800000003,143.62220800000003,143.62220800000003,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1270,1,0,178.3885410000039,178.3885410000039,178.3885410000039,178.3885410000039,7.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
PUT,/booking/1274,1,0,216.6119170000016,216.6119170000016,216.6119170000016,216.6119170000016,150.0,0.016934836038073553,0.0,220,220,220,220,220,220,220,220,220,220,220
DELETE,/booking/1279,1,0,144.20837499999806,144.20837499999806,144.20837499999806,144.20837499999806,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1293,1,0,176.83037499999443,176.83037499999443,176.83037499999443,176.83037499999443,7.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/13,1,0,144.16929199999907,144.16929199999907,144.16929199999907,144.16929199999907,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/130,1,0,139.8277910000001,139.8277910000001,139.8277910000001,139.8277910000001,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1305,1,0,148.3397499999981,148.3397499999981,148.3397499999981,148.3397499999981,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1308,1,0,143.8920419999974,143.8920419999974,143.8920419999974,143.8920419999974,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1312,1,0,155.42208300000127,155.42208300000127,155.42208300000127,155.42208300000127,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1314,1,0,146.89879199999822,146.89879199999822,146.89879199999822,146.89879199999822,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1315,1,0,210.56362499999892,210.56362499999892,210.56362499999892,210.56362499999892,150.0,0.016934836038073553,0.0,210,210,210,210,210,210,210,210,210,210,210
DELETE,/booking/1321,1,0,151.10291699999934,151.10291699999934,151.10291699999934,151.10291699999934,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/1333,1,0,164.53458399999832,164.53458399999832,164.53458399999832,164.53458399999832,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1335,1,0,170.67545799999982,170.67545799999982,170.67545799999982,170.67545799999982,150.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
DELETE,/booking/1338,1,0,155.35779100000013,155.35779100000013,155.35779100000013,155.35779100000013,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1343,1,0,155.64687500000042,155.64687500000042,155.64687500000042,155.64687500000042,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1349,1,0,194.20325000000105,194.20325000000105,194.20325000000105,194.20325000000105,150.0,0.016934836038073553,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/booking/135,1,0,178.69724999999903,178.69724999999903,178.69724999999903,178.69724999999903,7.0,0.016934836038073553,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/booking/1351,1,0,162.38016700000026,162.38016700000026,162.38016700000026,162.38016700000026,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
PUT,/booking/1355,1,0,160.8541670000001,160.8541670000001,160.8541670000001,160.8541670000001,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1364,1,0,147.72970799999996,147.72970799999996,147.72970799999996,147.72970799999996,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/booking/1367,1,0,196.10258299999828,196.10258299999828,196.10258299999828,196.10258299999828,150.0,0.016934836038073553,0.0,200,200,200,200,200,200,200,200,200,200,200
DELETE,/booking/137,1,0,150.22629199999926,150.22629199999926,150.22629199999926,150.22629199999926,7.0,0.016934836038073553,0.0,150,150,150,150,150,150,150,150,150,150,150
DELETE,/booking/138,1,0,142.05862500000066,142.05862500000066,142.05862500000066,142.05862500000066,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/booking/1393,1,0,171.7739169999959,171.7739169999959,171.7739169999959,171.7739169999959,7.0,0.016934836038073553,0.0,170,170,170,170,170,170,170,170,170,170,170
PUT,/booking/14,1,0,218.66295800000302,218.66295800000302,218.66295800000302,218.66295800000302,180.0,0.016934836038073553,0.0,220,220,220,220,220,220,220,220,220,220,220
PUT,/booking/1408,1,0,160.1934170000021,160.1934170000021,160.1934170000021,160.1934170000021,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1417,1,0,144.9879170000017,144.9879170000017,144.9879170000017,144.9879170000017,7.0,0.016934836038073553,0.0,140,140,140,140,140,140,140,140,140,140,140
PUT,/booking/1422,1,0,156.56995900000226,156.56995900000226,156.56995900000226,156.56995900000226,150.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/booking/1423,1,0,157.08341600000074,157.08341600000074,157.08341600000074,157.08341600000074,7.0,0.016934836038073553,0.0,160,160,160,160,160,160,160,160,160,160,160
